date,open,high,low,close,volume,tic,day
2016-01-04,102.61,105.368,102.0,105.35,71935339.0,AAPL,0
2016-01-04,159.0,159.22,156.09,158.34,5666279.0,AMGN,0
2016-01-04,656.29,657.715,627.51,636.99,9616395.0,AMZN,0
2016-01-04,68.09,68.18,66.77,67.59,10069871.0,AXP,0
2016-01-04,141.49,141.7,139.43,140.5,6178380.0,BA,0
2016-01-04,66.88,68.085,65.72,67.99,9067095.0,CAT,0
2016-01-04,77.14,77.21,75.64,76.71,5247147.0,CRM,0
2016-01-04,26.39,26.42,25.88,26.41,39410994.0,CSCO,0
2016-01-04,89.53,90.11,87.57,88.85,12358253.0,CVX,0
2016-01-04,103.37,103.43,101.73,102.98,13637011.0,DIS,0
2016-01-04,175.79,177.19,173.76,177.14,4063377.0,GS,0
2016-01-04,130.11,131.07,129.45,131.07,9010836.0,HD,0
2016-01-04,101.55,102.64,100.99,102.57,3693553.0,HON,0
2016-01-04,135.6,135.97,134.24,135.95,5770503.0,IBM,0
2016-01-04,101.71,101.81,99.45,100.48,14395232.0,JNJ,0
2016-01-04,63.95,64.06,63.01,63.62,27827227.0,JPM,0
2016-01-04,42.34,42.5,41.965,42.4,18196044.0,KO,0
2016-01-04,117.25,117.73,115.87,117.58,10805677.0,MCD,0
2016-01-04,148.05,148.32,145.4,146.82,3705207.0,MMM,0
2016-01-04,52.01,52.61,51.61,52.48,18681664.0,MRK,0
2016-01-04,54.32,54.8,53.39,54.8,59379610.0,MSFT,0
2016-01-04,61.11,61.91,60.86,61.52,12562870.0,NKE,0
2016-01-04,32.29,32.58,32.04,32.37,9777779.0,NVDA,0
2016-01-04,78.36,78.5,77.54,78.37,13282511.0,PG,0
2016-01-04,257.31,260.035,251.11,254.75,1232199.0,SHW,0
2016-01-04,110.71,110.96,108.73,109.97,3370518.0,TRV,0
2016-01-04,116.91,116.91,114.525,116.46,5583065.0,UNH,0
2016-01-04,76.06,76.38,75.01,75.7,14892651.0,V,0
2016-01-04,45.67,45.905,45.36,45.87,20061699.0,VZ,0
2016-01-04,60.5,61.49,60.36,61.46,12960758.0,WMT,0
2016-01-05,105.75,105.85,102.41,102.71,58690536.0,AAPL,1
2016-01-05,159.0,160.21,157.25,158.17,2859336.0,AMGN,1
2016-01-05,646.86,646.91,627.65,633.79,5986947.0,AMZN,1
2016-01-05,67.37,67.71,65.67,66.55,11341027.0,AXP,1
2016-01-05,140.99,141.7,139.77,141.07,3567191.0,BA,1
2016-01-05,68.38,68.44,66.42,67.28,6527466.0,CAT,1
2016-01-05,77.14,77.97,76.67,77.05,2958073.0,CRM,1
2016-01-05,26.54,26.66,26.18,26.29,23962904.0,CSCO,1
2016-01-05,89.05,89.65,87.84,89.61,8733119.0,CVX,1
2016-01-05,102.67,102.67,99.89,100.9,17218500.0,DIS,1
2016-01-05,176.9,177.5,172.92,174.09,4766344.0,GS,1
2016-01-05,131.3,131.94,130.05,130.43,5649151.0,HD,1
2016-01-05,102.64,103.59,102.27,103.41,2754784.0,HON,1
2016-01-05,136.48,136.89,134.8501,135.85,4163791.0,IBM,1
2016-01-05,100.58,101.44,100.57,100.9,7188729.0,JNJ,1
2016-01-05,63.69,64.13,63.04,63.73,17591872.0,JPM,1
2016-01-05,42.31,42.625,42.17,42.55,16929774.0,KO,1
2016-01-05,117.41,119.23,117.29,119.2,6788318.0,MCD,1
2016-01-05,146.82,147.5,145.61,147.46,2870112.0,MMM,1
2016-01-05,52.79,53.4685,52.67,53.15,12142815.0,MRK,1
2016-01-05,54.93,55.39,54.54,55.05,36457804.0,MSFT,1
2016-01-05,61.76,62.59,61.72,62.38,10030312.0,NKE,1
2016-01-05,32.98,33.44,32.5,32.89,13406139.0,NVDA,1
2016-01-05,78.43,78.96,78.21,78.62,9102771.0,PG,1
2016-01-05,255.96,258.66,254.84,255.78,790277.0,SHW,1
2016-01-05,109.88,110.73,109.54,110.47,2025348.0,TRV,1
